transcript,Gene Ontology IDs
TRINITY_GG_7495_c40_g1_i1.p1,GO:0000045; GO:0000139; GO:0003924; GO:0005525; GO:0005768; GO:0005794; GO:0005796; GO:0006891; GO:0015031; GO:0017157; GO:0032482; GO:0034067; GO:0048705; GO:1903358; GO:1903434; GO:2000156
TRINITY_GG_25683_c1_g1_i1.p1,GO:0000045; GO:0000153; GO:0000422; GO:0005829; GO:0015031; GO:0016567; GO:0019776; GO:0019777; GO:0019899; GO:0043653; GO:0044804; GO:0050765; GO:1902017
TRINITY_GG_22604_c1_g1_i3.p1,GO:0000045; GO:0000209; GO:0005634; GO:0005739; GO:0005776; GO:0005783; GO:0005829; GO:0005856; GO:0005925; GO:0006914; GO:0007049; GO:0007626; GO:0031410; GO:0035307; GO:0043009; GO:0043231; GO:0045591; GO:0048741; GO:0080008; GO:1901526; GO:1904544; GO:1990756; GO:2000045
TRINITY_GG_15235_c6_g1_i2.p1,GO:0000045; GO:0000407; GO:0000421; GO:0000422; GO:0001889; GO:0001934; GO:0005764; GO:0005789; GO:0005829; GO:0006468; GO:0006914; GO:0007049; GO:0007507; GO:0008285; GO:0010508; GO:0019898; GO:0019901; GO:0030242; GO:0031965; GO:0034045; GO:0034727; GO:0045793; GO:0046330; GO:0046777; GO:0060090; GO:0061709; GO:0061723; GO:0097191; GO:1903059; GO:1990316; GO:2001237
TRINITY_GG_24295_c9_g1_i1.p1,GO:0000045; GO:0000407; GO:0000421; GO:0005730; GO:0005783; GO:0005789; GO:0005886; GO:0006914; GO:0007566; GO:0016021; GO:0016240; GO:0017128; GO:0033116; GO:0034329; GO:0042953; GO:0098609; GO:0140056; GO:1901896; GO:1990456
TRINITY_GG_12691_c10_g1_i1.p1,GO:0000045; GO:0000407; GO:0000422; GO:0005576; GO:0005737; GO:0005829; GO:0005930; GO:0006497; GO:0006501; GO:0006914; GO:0006995; GO:0009267; GO:0015031; GO:0016236; GO:0019778; GO:0019779; GO:0031401; GO:0032446; GO:0034727; GO:0034774; GO:0039521; GO:0042752; GO:0042803; GO:0043065; GO:0044805; GO:0045732; GO:0048511; GO:0051607; GO:0071455; GO:1904813
TRINITY_GG_17795_c5_g1_i1.p1,GO:0000045; GO:0000407; GO:0000422; GO:0005764; GO:0005829; GO:0006497; GO:0009267; GO:0019898; GO:0032266; GO:0034045; GO:0034497; GO:0044804; GO:0080025
TRINITY_GG_2684_c9_g1_i2.p1,GO:0000045; GO:0000407; GO:0000422; GO:0005789; GO:0005811; GO:0019898; GO:0032266; GO:0034045; GO:0034727; GO:0044805; GO:0061709; GO:0120013
TRINITY_GG_13158_c4_g1_i1.p1,GO:0000045; GO:0000407; GO:0000422; GO:0005829; GO:0006497; GO:0009267; GO:0019898; GO:0032266; GO:0034045; GO:0034497; GO:0044804; GO:0080025; GO:1901981; GO:2000786
TRINITY_GG_16577_c14_g1_i1.p1,GO:0000045; GO:0000407; GO:0004672; GO:0005524; GO:0005737; GO:0005768; GO:0005770; GO:0005777; GO:0005829; GO:0006468; GO:0006497; GO:0006622; GO:0006897; GO:0006914; GO:0007032; GO:0007049; GO:0009267; GO:0010506; GO:0016020; GO:0016236; GO:0016241; GO:0016301; GO:0016303; GO:0016485; GO:0030242; GO:0030496; GO:0032465; GO:0034271; GO:0034272; GO:0034497; GO:0035004; GO:0035032; GO:0036092; GO:0042149; GO:0043201; GO:0044754; GO:0045022; GO:0045335; GO:0046854; GO:0048015; GO:0050708; GO:0051301; GO:0052742; GO:0097352
TRINITY_GG_14494_c7_g1_i2.p1,GO:0000045; GO:0000407; GO:0006468; GO:0008285; GO:0010508; GO:0042802; GO:0044877; GO:0046777; GO:1903059; GO:1990316
TRINITY_GG_5844_c9_g1_i1.p1,GO:0000045; GO:0000407; GO:0006897; GO:0006914; GO:0006979; GO:0006995; GO:0009267; GO:0009306; GO:0016322; GO:0030097; GO:0031267; GO:0032465; GO:0034271; GO:0034272; GO:0035096; GO:0045324; GO:0045824; GO:0050829; GO:0061723
TRINITY_GG_10807_c55_g1_i2.p1,GO:0000045; GO:0000421; GO:0000422; GO:0005776; GO:0005829; GO:0005874; GO:0006995; GO:0008017; GO:0009267; GO:0012505; GO:0016236; GO:0031090; GO:0031410; GO:0031625; GO:0032527; GO:0035973; GO:0036464; GO:0097352
TRINITY_GG_22034_c1_g2_i8.p1,GO:0000045; GO:0000421; GO:0000423; GO:0001932; GO:0001933; GO:0001934; GO:0005776; GO:0005789; GO:0005829; GO:0005930; GO:0006468; GO:0006622; GO:0008333; GO:0009267; GO:0010608; GO:0016236; GO:0016240; GO:0016241; GO:0034045; GO:0035032; GO:0036092; GO:0042149; GO:0043552; GO:0044233; GO:0045022; GO:0045335; GO:0051020; GO:0061635; GO:0090207; GO:0097352; GO:0097629; GO:0097632; GO:0098780
TRINITY_GG_26834_c1_g1_i2.p1,GO:0000045; GO:0000421; GO:0005737; GO:0005930; GO:0006501; GO:0015031; GO:0016236; GO:0016237; GO:0034045; GO:0034274; GO:0036020; GO:0097225; GO:0120095
TRINITY_GG_16495_c1_g1_i1.p1,GO:0000045; GO:0000422; GO:0001974; GO:0002718; GO:0005737; GO:0005776; GO:0005829; GO:0005930; GO:0006497; GO:0006501; GO:0006914; GO:0006995; GO:0009410; GO:0009620; GO:0010040; GO:0010659; GO:0010667; GO:0016020; GO:0016236; GO:0016567; GO:0019883; GO:0030424; GO:0030670; GO:0031397; GO:0032480; GO:0032991; GO:0034045; GO:0034274; GO:0035973; GO:0039689; GO:0042311; GO:0043687; GO:0044233; GO:0044804; GO:0045060; GO:0045824; GO:0048840; GO:0050687; GO:0050765; GO:0051279; GO:0051649; GO:0055015; GO:0060047; GO:0060548; GO:0061684; GO:0061739; GO:0070254; GO:0070257; GO:0071500; GO:1901096; GO:1902017; GO:1902617; GO:1904973; GO:2000378; GO:2000619
