transcript,Gene Ontology IDs
TRINITY_GG_19128_c15_g1_i1.p1,GO:0000184; GO:0000381; GO:0000398; GO:0003723; GO:0005654; GO:0005737; GO:0016607; GO:0043065; GO:0048025; GO:0061574
TRINITY_GG_7101_c8_g1_i2.p1,GO:0000184; GO:0000932; GO:0005634
TRINITY_GG_9087_c9_g1_i2.p1,GO:0000209; GO:0000288; GO:0000932; GO:0001782; GO:0003677; GO:0003725; GO:0003729; GO:0006511; GO:0009791; GO:0009986; GO:0010468; GO:0010494; GO:0010608; GO:0016020; GO:0035264; GO:0035613; GO:0042098; GO:0043029; GO:0043231; GO:0046872; GO:0048286; GO:0048535; GO:0048536; GO:0050852; GO:0060173; GO:0061470; GO:0061630; GO:1901224; GO:2000320; GO:2000628
TRINITY_GG_23238_c39_g1_i1.p1,GO:0000209; GO:0004175; GO:0004177; GO:0004252; GO:0005654; GO:0005737; GO:0005829; GO:0006508; GO:0008240; GO:0016604; GO:0042802; GO:0080144
TRINITY_GG_18097_c7_g1_i1.p1,GO:0000209; GO:0004177; GO:0005634; GO:0005737; GO:0005829; GO:0006508; GO:0008270; GO:0042277; GO:0043171; GO:0070006; GO:0070062; GO:0071456; GO:1903955
TRINITY_GG_18097_c12_g1_i8.p2,GO:0000209; GO:0004842; GO:0005524; GO:0005634; GO:0006281; GO:0006513; GO:0006515; GO:0043161; GO:0061631; GO:0071218
TRINITY_GG_9449_c23_g1_i2.p1,GO:0000209; GO:0004842; GO:0005524; GO:0005634; GO:0019915; GO:0061631
TRINITY_GG_16884_c23_g1_i3.p1,GO:0000209; GO:0004842; GO:0016567; GO:0017148; GO:0030371; GO:0043161; GO:0046872; GO:0061630
TRINITY_GG_7343_c61_g1_i1.p1,GO:0000209; GO:0005783; GO:0005789; GO:0006986; GO:0016021; GO:0030433; GO:0030970; GO:0046872; GO:0061630
TRINITY_GG_19901_c17_g1_i10.p3,GO:0000212; GO:0001745; GO:0004521; GO:0005634; GO:0005737; GO:0006417; GO:0007141; GO:0007291; GO:0008315; GO:0016441; GO:0030718; GO:0032790; GO:0036098; GO:0046872; GO:0048132; GO:0048137; GO:0051078; GO:0051321; GO:0070481; GO:0070651; GO:0070966; GO:0071025; GO:1990533
TRINITY_GG_23185_c6_g1_i1.p2,GO:0000220; GO:0007035; GO:0016021; GO:0033181; GO:0033227; GO:0045169; GO:0046961; GO:1902600
TRINITY_GG_6331_c38_g1_i1.p1,GO:0000221; GO:0005524; GO:0005769; GO:0005829; GO:0005886; GO:0005903; GO:0007035; GO:0033181; GO:0046034; GO:0046961; GO:0048471; GO:1902600
TRINITY_GG_15289_c2_g1_i3.p1,GO:0000224; GO:0005634; GO:0005737; GO:0005829; GO:0006515; GO:0006516; GO:0006517; GO:0046872
